Team,Year,Runs,Hits ,Doubles,Triples,Homeruns,RBIS,SBS,BBS,SOS,BA,OBP,SLG,OPS,OPS_PLUS,TB,League,Wins,Loss,Win_Percent
Atlanta Braves 23,23,947,1543,293,23,307,916,132,538,1289,0.276,0.344,0.501,0.845,124,2803,National,104,58,0.6419753086
Philadelphia Phillies 23,23,796,1417,291,29,220,771,141,539,1481,0.256,0.327,0.438,0.765,108,2426,National,90,72,0.5555555556
Miami Marlins 23,23,666,1423,258,23,166,633,86,430,1287,0.259,0.316,0.405,0.721,94,2225,National,84,78,0.5185185185
New York Mets 23,23,717,1275,220,21,215,692,118,525,1331,0.238,0.316,0.407,0.723,98,2182,National,75,87,0.462962963
Washington Nationals 23,23,700,1401,279,26,151,665,127,423,1149,0.254,0.314,0.396,0.71,95,2185,National,71,91,0.4382716049
Milwaukee Brewers 23,23,728,1291,257,16,165,696,129,591,1412,0.24,0.319,0.385,0.704,93,2075,National,92,70,0.5679012346
Chicago Cubs 23,23,819,1399,269,30,196,786,140,570,1391,0.254,0.33,0.421,0.751,101,2316,National,83,79,0.512345679
Cincinnati Reds 23,23,783,1371,268,37,198,747,190,556,1500,0.249,0.327,0.42,0.747,99,2307,National,82,80,0.5061728395
Pittsburgh Pirates 23,23,692,1293,287,31,159,662,117,556,1464,0.239,0.315,0.392,0.707,92,2119,National,76,86,0.4691358025
St.Louis Cardinals 23,23,719,1376,264,12,209,697,101,570,1326,0.25,0.326,0.416,0.742,101,2291,National,71,91,0.4382716049
Los Angeles Dodgers 23,23,906,1422,303,20,249,877,105,644,1359,0.257,0.34,0.455,0.795,113,2512,National,100,62,0.6172839506
Arizona Diamondbacks 23,23,746,1359,274,44,166,706,166,540,1247,0.25,0.322,0.408,0.73,98,2219,National,84,78,0.5185185185
San Diego Padres 23,23,752,1316,273,14,205,719,137,653,1311,0.244,0.329,0.413,0.742,106,2232,National,82,80,0.5061728395
San Francisco Giants 23,23,674,1271,256,13,174,651,57,544,1492,0.235,0.312,0.383,0.695,92,2075,National,79,83,0.487654321
Colorado Rockies 23,23,721,1368,305,31,163,685,76,447,1543,0.249,0.31,0.405,0.715,83,2224,National,59,103,0.3641975309
Baltimore Orioles 23,23,807,1399,309,28,183,780,114,512,1370,0.255,0.321,0.421,0.742,107,2313,American,101,61,0.6234567901
Tampa Bay Rays 23,23,860,1432,282,24,230,827,160,514,1420,0.26,0.331,0.445,0.776,114,2452,American,99,63,0.6111111111
Toronto Blue Jays 23,23,746,1423,292,19,188,705,99,550,1303,0.256,0.329,0.417,0.746,106,2317,American,89,73,0.549382716
New York Yankees 23,23,673,1207,221,15,219,650,100,557,1427,0.227,0.304,0.397,0.701,91,2115,American,82,80,0.5061728395
Boston Red Sox 23,23,772,1437,339,19,182,734,112,486,1372,0.258,0.324,0.424,0.748,100,2360,American,78,84,0.4814814815
Minnesota Twins 23,23,778,1335,264,24,233,745,86,594,1654,0.243,0.326,0.427,0.753,106,2346,American,87,75,0.537037037
Detroit Tigers 23,23,661,1293,245,29,165,635,85,508,1473,0.236,0.305,0.382,0.687,87,2091,American,78,84,0.4814814815
Cleveland Guardians 23,23,662,1379,294,29,124,622,151,471,1142,0.25,0.313,0.381,0.694,94,2103,American,76,86,0.4691358025
Chicago White Sox 23,23,641,1308,264,13,171,617,86,377,1424,0.238,0.291,0.384,0.675,83,2111,American,61,101,0.3765432099
Kansas City Royals 23,23,676,1325,258,43,163,651,163,411,1396,0.244,0.303,0.398,0.701,91,2158,American,56,106,0.3456790123
Houston Astros 23,23,827,1441,280,22,222,799,107,550,1241,0.259,0.331,0.437,0.768,111,2431,American,90,72,0.5555555556
Texas Rangers 23,23,881,1470,326,18,233,845,79,599,1416,0.263,0.337,0.452,0.789,113,2531,American,90,72,0.5555555556
Seattle Mariners 23,23,758,1332,283,12,210,728,118,548,1603,0.242,0.321,0.413,0.734,106,2269,American,88,74,0.5432098765
Los Angeles Angels 23,23,739,1346,248,26,231,708,72,518,1524,0.245,0.317,0.426,0.743,100,2339,American,73,89,0.450617284
Oakland Athletics 23,23,585,1187,225,21,171,563,149,498,1496,0.223,0.298,0.37,0.668,91,1967,American,50,112,0.3086419753
