Team,League,Win,Loss,Win_Percent,ERA,CG,SHO,SV,H,R,HR,BB,SO,ERA_PLUS,FIP,WHIP,H9,W9,SO9
Atlanta Braves,National,101,61,0.6234567901,3.46,1,1,55,1224,609,556,500,1554,119,3.46,1.191,7.6,3.1,9.7
Philadelphia Phillies,National,87,75,0.537037037,3.97,3,1,42,1330,685,150,463,1423,101,3.6,1.255,8.4,2.9,9
Miami Marlins,National,69,93,0.4259259259,3.86,6,1,41,1311,676,173,511,1437,107,3.9,1.268,8.2,3.2,9
New York Mets,National,101,61,0.6234567901,3.57,0,0,41,1274,606,169,428,1565,108,3.5,1.183,8,2.7,9.8
Washington Nationals,National,55,107,0.3395061728,5,2,0,28,1469,855,244,558,1220,79,4.98,1.436,9.4,3.6,7.8
Milwaukee Brewers,National,86,76,0.5308641975,3.83,0,0,52,1238,688,190,521,1530,106,3.92,1.216,7.7,3.2,9.5
Chicago Cubs,National,74,88,0.4567901235,4,0,0,44,1342,731,207,540,1383,105,4.33,1.304,8.4,3.4,8.6
Cincinnati Reds,National,62,100,0.3827160494,4.86,1,1,31,1366,815,213,612,1414,90,4.59,1.39,8.6,3.9,8.9
Pittsburgh Pirates,National,62,100,0.3827160494,4.66,0,0,33,1432,817,164,586,1250,88,4.27,1.42,9.1,3.7,7.9
St.Louis Cardinals,National,93,69,0.5740740741,3.79,3,1,37,1335,637,146,489,1177,104,3.94,1.27,8.4,3.1,7.4
Los Angeles Dodgers,National,111,51,0.6851851852,2.8,1,1,43,1114,513,152,407,1465,145,3.45,1.048,6.9,2.5,9.1
Arizona Diamondbacks,National,74,88,0.4567901235,4.25,0,0,33,1345,740,191,504,1216,95,4.33,1.293,8.5,3.2,7.7
San Diego Padres,National,89,73,0.549382716,3.81,0,0,48,1263,660,173,468,1451,100,3.82,1.199,7.9,2.9,9
San Francisco Giants,National,81,81,0.5,3.85,1,0,39,1397,697,132,441,1370,103,3.43,1.283,8.8,2.8,8.6
Colorado Rockies,National,68,94,0.4197530864,5.06,1,1,43,1516,873,184,539,1187,92,4.38,1.442,9.6,3.4,7.5
Baltimore Orioles,American,83,79,0.512345679,3.97,2,1,46,1406,688,171,443,1214,99,4.03,1.29,8.8,2.8,7.6
Tampa Bay Rays,American,86,76,0.5308641975,3.41,0,0,44,1260,614,172,384,1384,108,3.68,1.145,7.9,2.4,8.7
Toronto Blue Jays,American,92,70,0.5679012346,3.87,0,0,46,1356,679,180,424,1390,100,3.85,1.235,8.5,2.6,8.7
New York Yankees,American,99,63,0.6111111111,3.3,1,1,47,1177,567,157,444,1459,120,3.56,1.117,7.3,2.8,9
Boston Red Sox,American,78,84,0.4814814815,4.53,5,2,39,1411,787,185,526,1346,93,4.17,1.354,8.9,3.3,8.5
Minnesota Twins,American,78,84,0.4814814815,3.98,0,0,28,1320,684,184,468,1336,99,4.03,1.244,8.3,2.9,8.4
Detroit Tigers,American,66,96,0.4074074074,4.04,0,0,38,1336,713,637,167,511,97,4.16,1.301,8.5,3.2,7.6
Cleveland Guardians,American,92,70,0.5679012346,3.46,1,0,51,1252,634,172,435,1390,109,3.75,1.159,7.7,2.7,8.6
Chicago White Sox,American,81,81,0.5,3.92,2,1,48,1330,717,166,533,1450,101,3.81,1.287,8.3,3.3,9
Kansas City Royals,American,65,97,0.4012345679,4.7,0,0,33,1493,810,173,589,1191,87,4.42,1.47,9.5,3.7,7.6
Houston Astros,American,106,56,0.6543209877,2.9,3,1,53,1121,518,134,458,1524,132,3.28,1.092,7,2.9,9.5
Texas Rangers,American,68,94,0.4197530864,4.22,1,1,37,1345,743,169,581,1314,95,4.17,1.342,8.4,3.6,8.2
Seattle Mariners,American,90,72,0.5555555556,3.59,0,0,40,1277,577,186,447,1391,104,3.9,1.191,7.9,2.8,8.7
Los Angeles Angels,American,73,89,0.450617284,3.77,2,2,38,1241,668,168,540,1383,107,3.96,1.241,7.8,3.4,8.7
Oakland Athletics,American,60,102,0.3703703704,4.52,0,0,34,1394,770,195,503,1203,82,4.41,1.33,8.8,3.2,7.6
